Threads	Time		Speedup		Value of Pi

1	9.060465	1		3.141606138
2	4.544365	1.993780209	3.141624175
3	3.038126	2.982254521	3.141607875
4	2.287306	3.96119496	3.141634825
5	1.824553	4.96585465	3.141586125
6	1.525802	5.938165634	3.141557425
7	1.306921	6.93267994	3.141612988
8	1.15161		7.867650507	3.141753638
9	1.023617	8.85142099	3.141697875
10	0.925542	9.789361261	3.141926325
11	0.832524	10.88312769	3.141978513
12	0.77501		11.69077173	3.142026575
13	0.724172	12.51148208	3.142030175
14	0.662513	13.67590523	3.141812025
15	0.635119	14.26577539	3.142067738
16	0.59908		15.12396508	3.142027125
